caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via207,CFIN,6310,[6310],[4670.39838633],4670.398386330134,False,True,True,True,1689.2447820877014,1689.2447820876903,6394,[6394],[4748.25549352],4748.255493521396,False,True,True,True,1749.8469145369045,1749.8469145369108
sub-via219,CFIN,3986,[3986],[3070.20155361],3070.2015536096997,False,True,True,True,1096.4130818522508,1096.413081852248,3732,[3732],[2894.4521697],2894.4521697000537,False,True,True,True,1062.0568555431219,1062.0568555431237
sub-via304,CFIN,4014,[4014],[3013.53248614],3013.532486139763,False,True,True,True,1102.7175415871934,1102.7175415871911,4186,[4186],[3113.11305122],3113.113051216571,False,True,True,True,1148.1853767025168,1148.1853767025168
sub-via273,CFIN,3770,[3770],[2822.65336218],2822.653362176503,True,False,True,True,-1.0,-1.0,4046,[4046],[3043.20812918],3043.2081291773234,False,True,True,True,1098.922479926971,1098.922479926975
sub-via372,CFIN,4528,[4528],[3388.43095005],3388.430950046992,False,True,True,True,1234.8683947721447,1234.868394772141,5182,[5182],[3842.35446217],3842.354462172639,False,True,True,True,1383.6153414188207,1383.6153414188184
sub-via433,CFIN,4084,[4084],[3009.55138307],3009.551383074975,False,True,True,True,1082.7417925138416,1082.7417925138443,3498,[3498],[2598.58491195],2598.584911954751,False,True,True,True,919.4452112556304,919.4452112556304
sub-via457,CFIN,5108,[5108],[3899.4714847],3899.471484696352,False,True,True,True,1407.4718684748586,1407.4718684748605,5054,[5054],[3856.57324881],3856.5732488131225,False,True,True,True,1444.236108417928,1444.2361084179277
sub-via506,CFIN,3746,[3746],[2780.12434205],2780.124342045112,False,True,True,True,1046.1071829550938,1046.1071829550956,4298,[4298],[3158.75345671],3158.7534567121397,False,True,True,True,1170.730073362125,1170.7300733621246
sub-via513,CFIN,5126,[5126],[3798.74666626],3798.7466662606976,False,True,True,True,1409.1562468812053,1409.1562468812017,5408,[5408],[4072.09778088],4072.0977808804846,False,True,True,True,1499.072699962654,1499.0726999626559
sub-via171,CFIN,4226,[4226],[3188.37558815],3188.3755881526204,False,True,True,True,1146.5757862115315,1146.5757862115315,4312,[4312],[3237.1707802],3237.1707802032156,False,True,True,True,1187.1984192787313,1187.1984192787302
sub-via205,CFIN,4616,[4616],[3390.51113611],3390.511136111261,False,True,True,True,1231.1074014644173,1231.1074014644219,4768,[4768],[3526.20186863],3526.2018686301785,False,True,True,True,1312.4531314071517,1312.4531314071546
sub-via118,CFIN,5178,[5178],[3909.18659354],3909.186593537506,False,True,True,True,1439.9841683939358,1439.9841683939385,5170,[5170],[3855.18844575],3855.188445751553,False,True,True,True,1410.198042685147,1410.1980426851474
sub-via152,CFIN,4904,[4904],[3623.84913676],3623.84913675598,False,True,True,True,1313.8045785793565,1313.8045785793638,4754,[4754],[3630.91975685],3630.9197568468653,False,True,True,True,1339.3651099859453,1339.3651099859444
sub-via259,CFIN,4718,[4718],[3569.67371767],3569.6737176681395,False,True,True,True,1306.8804767571492,1306.8804767571519,5156,[5156],[3836.89326447],3836.893264473655,False,True,True,True,1375.1290167256138,1375.1290167256107
sub-via300,CFIN,4562,[4562],[3388.20540302],3388.205403016164,False,True,True,True,1239.8924450226123,1239.8924450226104,3996,[3996],[3065.75062834],3065.750628343361,False,True,True,True,1140.533125458835,1140.533125458836
sub-via331,CFIN,2930,[2930],[2142.21316981],2142.2131698128046,False,True,True,True,766.6454679785916,766.6454679785952,3944,[3944],[2885.35550143],2885.3555014296926,False,True,True,True,1061.5171781013319,1061.5171781013323
