caseid,centre,lCS_junctions,rCS_junctions
sub-via110,DRCMR,"{1: 2, 3: 5, 4: 4, 5: 3, 6: 2}","{3: 5, 4: 2, 6: 2}"
sub-via146,DRCMR,"{1: 3, 4: 5, 5: 2}",{}
sub-via302,DRCMR,"{3: 2, 4: 11}","{2: 11, 4: 2, 5: 6, 7: 6, 8: 2}"
sub-via278,DRCMR,"{3: 5, 5: 2, 6: 3}","{2: 2, 3: 2, 4: 4, 5: 5, 6: 2, 7: 2, 8: 2, 9: 2}"
sub-via161,DRCMR,"{1: 2, 3: 2}","{1: 2, 2: 2, 3: 2, 4: 2, 5: 4}"
sub-via288,DRCMR,"{1: 6, 2: 3, 3: 2, 4: 5, 5: 2, 6: 2, 8: 5}","{1: 3, 3: 2}"
sub-via230,DRCMR,"{1: 3, 4: 3, 6: 6, 7: 2}","{1: 3, 2: 7, 5: 7}"
sub-via377,DRCMR,"{1: 4, 6: 2, 7: 2}",{1: 2}
sub-via509,DRCMR,"{1: 4, 2: 4, 3: 2, 4: 2, 6: 2}","{5: 2, 6: 2, 8: 2}"
sub-via098,DRCMR,"{2: 4, 4: 2, 6: 3}","{2: 4, 5: 3, 6: 2}"
sub-via133,DRCMR,"{1: 5, 3: 2}",{3: 2}
sub-via130,DRCMR,"{3: 2, 4: 2, 6: 3, 9: 2}",{3: 4}
sub-via185,DRCMR,"{1: 5, 2: 2}",{}
sub-via196,DRCMR,"{3: 3, 6: 6, 7: 3}","{4: 3, 5: 3}"
sub-via243,DRCMR,"{1: 16, 2: 5, 4: 5, 6: 2}","{1: 2, 4: 2, 6: 4}"
sub-via368,DRCMR,"{3: 3, 4: 3, 9: 3}","{2: 2, 3: 3}"
sub-via267,DRCMR,"{2: 2, 3: 2}",{}
sub-via176,DRCMR,"{2: 2, 4: 2}","{1: 6, 2: 2, 3: 2, 5: 2}"
sub-via139,DRCMR,{1: 4},{3: 2}
sub-via285,DRCMR,"{3: 2, 4: 5}","{1: 3, 2: 3, 3: 6, 5: 5, 7: 2}"
sub-via172,DRCMR,"{1: 6, 2: 3, 5: 4, 7: 4}","{2: 3, 3: 2, 6: 2, 8: 2, 9: 2, 10: 2, 12: 5, 13: 3}"
sub-via150,DRCMR,"{1: 2, 2: 2, 3: 4}","{3: 3, 4: 2, 10: 3}"
sub-via316,DRCMR,{2: 4},"{2: 2, 3: 2, 4: 5, 5: 2}"
sub-via187,DRCMR,{2: 5},"{2: 3, 3: 3, 6: 3}"
sub-via217,DRCMR,{},"{1: 3, 2: 3}"
sub-via046,DRCMR,{2: 2},"{1: 3, 2: 6}"
sub-via090,DRCMR,"{1: 3, 3: 6, 8: 6}","{4: 3, 7: 2}"
sub-via023,DRCMR,"{1: 4, 4: 3}","{1: 2, 2: 4}"
sub-via069,DRCMR,"{2: 2, 3: 2, 6: 5, 10: 4, 11: 3}","{2: 2, 3: 5, 5: 2, 6: 2}"
sub-via101,DRCMR,"{1: 8, 3: 8, 5: 2, 7: 3, 10: 2, 11: 3}","{1: 3, 2: 2, 4: 5, 5: 2, 8: 3, 9: 2}"
sub-via028,DRCMR,"{1: 2, 4: 2, 7: 7, 11: 4}","{5: 2, 6: 4}"
sub-via072,DRCMR,"{1: 2, 8: 2, 9: 3}","{4: 3, 5: 3, 10: 3}"
sub-via127,DRCMR,"{1: 4, 2: 2, 3: 2, 4: 3, 7: 2, 8: 2}",{3: 3}
